token_currency,token_issuer,dex_tx_count,overlap_tx_count,amm_rows,amm_tx_count,amm_unique_ledger_count,clob_leg_rows,clob_tx_count
666,rhvf9fe6PP3GC8Bku2Ug7iQPjPDxYZfrxN,298378,21676,235659,235659,154895,84397,84395
524C555344000000000000000000000000000000,rMxCKbEDwqr76QuheSUMdEGf4B9xJ8m5De,124895,1886,3328,3328,2920,161491,123453
5852504252000000000000000000000000000000,rfnMuYiECGMAHUkZdDw5K1c7gVdoiqkmJC,82984,1,82983,82983,62228,2,2
4661766100000000000000000000000000000000,rPhLHqVRvk2JiMCc3fw2PsJNdUgADFbWhE,54498,13,54489,54489,19373,22,22
62756C6C00000000000000000000000000000000,rwxrCZTjrxXmtYA6v6krDKjjFaRuUiAhvJ,54083,0,54083,54083,54049,0,0
5348524F4F4D4945530000000000000000000000,r4M4TzSypz2gRdS86hTM7oFcSs6yRmEPKZ,45914,5,45896,45896,44395,23,23
4C45535300000000000000000000000000000000,rDSkXt9C1fdGrgMoajRgM1SkGwHLy6Ckme,43348,0,0,0,0,43348,43348
545552544C450000000000000000000000000000,r4un9YyAD1WRKwVHqZwND7grvZLRt3GHS3,41658,3,41658,41658,14587,3,3
434F42414C540000000000000000000000000000,rCoBALTd1RrJtGoiXJD4Am1TJh5qBAY2A,34362,1,22,22,20,34341,34341
NXS,rNexusA23ZQdtejTCeHZZaiKoJRsrnXboq,32613,7,129,129,97,32491,32491
FPT,rBXRBN9gSFE4qL6DGWYHgKCLtoMzUVL5cF,32611,4,220,220,161,32395,32395
XHO,r9rCp6XCn3WiHWjMUs7c1GBZ85VsCFX4Ur,30942,10,122,122,88,30830,30830
XRH,r9xu7pdBEx4DdiatMqAUFodgxaPkfFU1Zw,30809,3,99,99,92,30729,30713
4F70756C656E6365000000000000000000000000,rs5wxrBTSErywDDfPs5NY4Zorrca5QMGVd,30767,43,310,310,250,30902,30500
3352444559450000000000000000000000000000,rHjyBqFM5oQvXu1soWtATC4r1V6GBnhCQQ,30480,34,2143,2143,1647,28372,28371
5844617767730000000000000000000000000000,raKhUVtNw6B892bKtATUT3frX35oawfsey,30091,7,175,175,161,29925,29923
SPY,rnmJEi7hzEL34R7x48e732qvSnmF5wsLtQ,29828,3,119,119,91,29712,29712
589,rfcasq9uRbvwcmLFvc4ti3j8Qt1CYCGgHz,29127,50,4529,4529,2977,24648,24648
2452495057414C4B000000000000000000000000,rMiNfhnZujVw4Xbz2B4oyT6mb6sEuoBDAV,28747,1,126,126,108,28622,28622
4342495244000000000000000000000000000000,rHcU3JWTp7fnea3xgvbV8pCbEp9S3HjSUz,27196,5,622,622,482,26579,26579
XAH,rswh1fvyLqHizBS2awu1vs6QcmwTBd9qiv,26991,122,14074,14074,13112,13078,13039
