rank,name,currency,issuer,md5,vol24hxrp,marketcap,holders,candidate_source,token_currency,token_issuer,dex_tx_count,overlap_tx_count,amm_rows,amm_tx_count,amm_unique_ledger_count,clob_leg_rows,clob_tx_count
8,666,666,rhvf9fe6PP3GC8Bku2Ug7iQPjPDxYZfrxN,c0088a2ab2bf8ba3484ec8164f018223,30663.90764,4188238.6980433227,5514,xrplto_current_vol24hxrp_top80,666,rhvf9fe6PP3GC8Bku2Ug7iQPjPDxYZfrxN,298378,21676,235659,235659,154895,84397,84395
1,RLUSD,524C555344000000000000000000000000000000,rMxCKbEDwqr76QuheSUMdEGf4B9xJ8m5De,0dd550278b74cb6690fdae351e8e0df3,3862128.119548,272898597.69489384,45145,existing_full_chain+xrplto_top80,524C555344000000000000000000000000000000,rMxCKbEDwqr76QuheSUMdEGf4B9xJ8m5De,124895,1886,3328,3328,2920,161491,123453
32,XRPBR,5852504252000000000000000000000000000000,rfnMuYiECGMAHUkZdDw5K1c7gVdoiqkmJC,12011b9fa26a6c381bc786b028aff337,5213.398586,33428.33345424731,209,xrplto_current_vol24hxrp_top80,5852504252000000000000000000000000000000,rfnMuYiECGMAHUkZdDw5K1c7gVdoiqkmJC,82984,1,82983,82983,62228,2,2
11,Opulence,4F70756C656E6365000000000000000000000000,rs5wxrBTSErywDDfPs5NY4Zorrca5QMGVd,384046afd106f2be5516cbe0c90434c5,21228.521755,840238.5043216844,6365,xrplto_current_vol24hxrp_top80,4F70756C656E6365000000000000000000000000,rs5wxrBTSErywDDfPs5NY4Zorrca5QMGVd,30767,43,310,310,250,30902,30500
22,3RDEYE,3352444559450000000000000000000000000000,rHjyBqFM5oQvXu1soWtATC4r1V6GBnhCQQ,1d491637e73faae8a1dae7805e1a0970,9242.643147,34472.782211637816,4224,xrplto_current_vol24hxrp_top80,3352444559450000000000000000000000000000,rHjyBqFM5oQvXu1soWtATC4r1V6GBnhCQQ,30480,34,2143,2143,1647,28372,28371
33,SPY,SPY,rnmJEi7hzEL34R7x48e732qvSnmF5wsLtQ,e569e1f10ba028f532877bfc19400e6d,4877.152743,512638.9984965768,4319,xrplto_current_vol24hxrp_top80,SPY,rnmJEi7hzEL34R7x48e732qvSnmF5wsLtQ,29828,3,119,119,91,29712,29712
7,589,589,rfcasq9uRbvwcmLFvc4ti3j8Qt1CYCGgHz,87c694ff9f9d42b9bf22d7858d19c81f,31339.203806,338915.06243640085,8788,xrplto_current_vol24hxrp_top80,589,rfcasq9uRbvwcmLFvc4ti3j8Qt1CYCGgHz,29127,50,4529,4529,2977,24648,24648
17,CBIRD,4342495244000000000000000000000000000000,rHcU3JWTp7fnea3xgvbV8pCbEp9S3HjSUz,167d205530cdace6839eca33a455f122,15037.669684,122921.89458887992,4444,xrplto_current_vol24hxrp_top80,4342495244000000000000000000000000000000,rHcU3JWTp7fnea3xgvbV8pCbEp9S3HjSUz,27196,5,622,622,482,26579,26579
23,XAH,XAH,rswh1fvyLqHizBS2awu1vs6QcmwTBd9qiv,33d41a287177d13f69da580dde9b968b,8218.663221,262359.86294411187,6572,xrplto_current_vol24hxrp_top80,XAH,rswh1fvyLqHizBS2awu1vs6QcmwTBd9qiv,26991,122,14074,14074,13112,13078,13039
40,TAZZ,54415A5A00000000000000000000000000000000,rDyzRLTk4eqYMJ86esHK5HPs1QHTJzjXwC,9c90e2b509b0089ec79da64ffe126873,3918.957626,5746.633994981038,4213,xrplto_current_vol24hxrp_top80,54415A5A00000000000000000000000000000000,rDyzRLTk4eqYMJ86esHK5HPs1QHTJzjXwC,26228,2,34,34,33,26196,26196
4,ARMY,41524D5900000000000000000000000000000000,rGG3wQ4kUzd7Jnmk1n5NWPZjjut62kCBfC,cd9499746c1b2e041563a9724330b3e6,137046.929231,3848473.8089262024,21752,xrplto_current_vol24hxrp_top80,41524D5900000000000000000000000000000000,rGG3wQ4kUzd7Jnmk1n5NWPZjjut62kCBfC,20950,328,20891,20891,7908,406,387
56,SOLO,534F4C4F00000000000000000000000000000000,rsoLo2S1kiGeCcn6hCUXVrCpGMWLrRrLZz,0413ca7cfc258dfaf698c02fe304e607,1964.689351,2541755.0761028226,216541,xrplto_current_vol24hxrp_top80,534F4C4F00000000000000000000000000000000,rsoLo2S1kiGeCcn6hCUXVrCpGMWLrRrLZz,19702,774,12646,12646,9315,8781,7830
6,USDC,5553444300000000000000000000000000000000,rGm7WCVp9gb4jZHWTEtGUr4dd74z2XuWhE,1c54f16ec1b45eef983f202b9954999b,40727.759735,3930432.159263677,9999,xrplto_current_vol24hxrp_top80,5553444300000000000000000000000000000000,rGm7WCVp9gb4jZHWTEtGUr4dd74z2XuWhE,18622,114,1369,1369,1216,19777,17367
36,Horizon,486F72697A6F6E00000000000000000000000000,rDKJWtrPqKiMBzK9FTVvebMVec7FJtJLx6,c80ab7366aab5807e55579db2a617690,4640.611614,221792.76207559503,1344,xrplto_current_vol24hxrp_top80,486F72697A6F6E00000000000000000000000000,rDKJWtrPqKiMBzK9FTVvebMVec7FJtJLx6,15743,11,15546,15546,13090,208,208
2,FUZZY,46555A5A59000000000000000000000000000000,rhCAT4hRdi2Y9puNdkpMzxrdKa5wkppR62,b05f7c8e58b832c74267d988567dea33,94305.09022,12773629.710572427,10111,existing_full_chain+xrplto_top80,46555A5A59000000000000000000000000000000,rhCAT4hRdi2Y9puNdkpMzxrdKa5wkppR62,15717,383,15050,15050,7525,1107,1050
