combined_rank,token,token_currency,token_issuer,dex_tx_count,amm_tx_count,clob_tx_count,both_sides_min_tx,both_sides_hmean_tx,overlap_tx_count,overlap_share_of_min,amm_unique_ledger_count,amm_account_count,sample_amm_account,xrp_reserve_min,xrp_reserve_mean,xrp_reserve_max,token_reserve_min,token_reserve_median,token_reserve_mean,token_reserve_max
1,RLUSD,524C555344000000000000000000000000000000,rMxCKbEDwqr76QuheSUMdEGf4B9xJ8m5De,124895,3328,123453,3328,6481.280065624976,1886,0.5667067307692307,2920,1,rhWTXC2m2gGGA9WozUaoMm6kLAVPb1tcS3,670273.290421,693728.9022415421,726405.101169,1260539.803814955,1423533.599232715,1378971.5734027657,1466866.455050815
2,SOLO,534F4C4F00000000000000000000000000000000,rsoLo2S1kiGeCcn6hCUXVrCpGMWLrRrLZz,19702,12646,7830,7830,9671.63313147099,774,0.09885057471264368,9315,1,rMEJo9H5XvTe17UoAJzj8jtKVvTRcxwngo,158178.130468,172351.08156359792,184924.023473,2049927.631140241,2188822.4386064,2187169.6493497826,2352995.996649396
3,666,666,rhvf9fe6PP3GC8Bku2Ug7iQPjPDxYZfrxN,298378,235659,84395,84395,124281.78560492917,21676,0.25683986018129035,154895,1,rfD5fzDHvh5WGiep3TgiSz2GcyqCHX7uCA,10022.182176,10199.376642792124,10401.281759,170637.9243551557,173371.8204277983,174171.9783142072,178124.8066130157
4,XAH,XAH,rswh1fvyLqHizBS2awu1vs6QcmwTBd9qiv,26991,14074,13039,13039,13536.745177590086,122,0.009356545747373265,13112,1,r9zeQhjj3scQFDRriCJpMjDtW6eWjWnp6M,39337.329841,41124.40993304403,44461.287409,2256899.016689233,2443513.443114554,2455327.3918454973,2683747.488906807
5,CORE,434F524500000000000000000000000000000000,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,15138,8470,7362,7362,7877.2283981809,694,0.09426786199402336,7671,1,rBu4LXTxM9cfs3JsFCuDbPMzvGBDR66wpi,61359.327746,67597.11597952915,71673.092805,1865564.871015525,1943176.232717312,1978926.5173795272,2082788.945453048
6,FUZZY,46555A5A59000000000000000000000000000000,rhCAT4hRdi2Y9puNdkpMzxrdKa5wkppR62,15717,15050,1050,1050,1963.0434782608695,383,0.3647619047619048,7525,1,rBudi9ArACZzLrReUWKFZmHve13LD7CbrM,305746.734129,335090.42540347547,374957.621134,26044260361.16973,29990028605.36482,29817384340.526672,33198786098.05777
7,CNY,CNY,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y,7159,4619,3008,3008,3643.35964337223,468,0.15558510638297873,2503,1,rEKkGGiLMfL28q74W4QAEPeRwXvcxWdutn,79946.613127,83821.49759382878,88332.550249,1113149.427618792,1179071.436217534,1172986.4311923545,1228183.170626871
8,USDC,5553444300000000000000000000000000000000,rGm7WCVp9gb4jZHWTEtGUr4dd74z2XuWhE,18622,1369,17367,1369,2537.94011528608,114,0.08327246165084003,1216,1,rM7cHVPfhe9yxQNk2kDNBEQqoQmMcQGPWE,142183.446769,150824.14003384733,157756.248419,282105.2208921439,292254.2160239464,293446.51901876036,306828.2427893711
9,589,589,rfcasq9uRbvwcmLFvc4ti3j8Qt1CYCGgHz,29127,4529,24648,4529,7651.971895671248,50,0.011039964672113049,2977,1,rMtcezeKUbKGnkEHbLw82VhBWx9bJ3JiQx,11839.621361,13054.5316363599,14615.805238,332496441.5273323,377215878.8546993,373587430.1800829,409040719.3655719
10,MALLARD,4D414C4C41524400000000000000000000000000,raaoPU9crbLGEFCMyh8moNH4gipsHJY3wN,23440,3044,20473,3044,5299.979759323043,77,0.025295663600525625,2176,1,rwPJURQbB932kpRg7YhrF1JytDCW15wkb7,14233.367494,17476.898025595914,20519.07219,91371892.21178798,100339346.3090958,107857990.08534555,127818403.3276221
11,xSPECTAR,7853504543544152000000000000000000000000,rh5jzTCdMRCVjQ7LT6zucjezC47KATkuvv,15024,1822,13231,1822,3202.9339002192255,29,0.015916575192096598,1368,1,rUGqgPbzKFVsSkTYUk4hdRoPwTaLv1iSDS,12531.848287,13129.009912392976,13527.249668,2320040.439003992,2380694.27141751,2396096.672256422,2506509.61027565
12,3RDEYE,3352444559450000000000000000000000000000,rHjyBqFM5oQvXu1soWtATC4r1V6GBnhCQQ,30480,2143,28371,2143,3984.9939699809925,34,0.015865608959402706,1647,1,rHx8P9wmKsTw2fSdgVEwsWyTB5sDgJZkNx,6804.479338,6966.771563434905,7178.78217,53201769.55545558,56274789.71908682,56004277.709188834,57290013.21791483
13,XMAS,584D415300000000000000000000000000000000,rQnrDqcTQVqzHmvMX94HjcnZHtRQgU5jw1,5331,4247,1509,1509,2226.797428769979,425,0.28164347249834326,2562,1,rhdd3H98WdJVkKHjxMATk652zzPZsBmQ95,1.35,37.72944101365668,174.662746,239582616.585936,1263983244.025264,1647343867.9810865,10914750000.0
14,BPUG,4250554700000000000000000000000000000000,rUjp8dVpWFr7WJa93uHjSN16fZgiJivPwa,15447,878,14586,878,1656.2995344024832,17,0.0193621867881549,630,1,rptGpBERyRRD7x8KXZ9XtRNq2V6KgriXQC,1654.694278,1719.1864594646922,1797.134995,13660483752.50941,14327836042.25717,14301464730.953571,14849192605.42434
15,EUROP,4555524F50000000000000000000000000000000,rMkEuRii9w9uBMQDnWV5AA43gvYZR9JxVK,10935,845,10170,845,1560.3540626418521,80,0.09467455621301775,831,1,rh6ZwVa12mGhuk2ZdqLTqyftcFG6GiGE5a,46.541808,53.75722164733727,68.043308,75.68062448562962,78.66220505400962,88.71938077434103,120.5766523986643
